id,user_id,user_type,business_name,business_list_type,business_list_id,business_slug,business_image,business_review_count,business_rating,business_lattitude,business_longitude,business_address_1,business_address_2,business_address_3,business_city,business_state,business_country,business_phone,business_email,business_zipcode,business_abn,business_website_url,business_default_hours,business_working_hours,business_about,business_services,callout,show_on_home,meta_title,meta_description,meta_keyword,business_review_url,created_at,updated_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,admin,Comprehensive Tagging Services,trustpilot,5e4238255dd2990001312e85,comprehensive-tagging-services,//s3-eu-west-1.amazonaws.com/tpd/logos/5e4238255dd2990001312e85/0x0.png,13,4.4,0,0,21/33 Danaher Drive,,,South Morang,South Morang,AU,1800 424 565,NULL,3752,NULL,comprehensivetagging.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/comprehensivetagging.com.au,17/10/2020 23:50,17/10/2020 23:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,admin,Climatecare Electrical,trustpilot,5dc8d5b8a0749f0001255417,climatecare-electrical,//s3-eu-west-1.amazonaws.com/tpd/logos/5dc8d5b8a0749f0001255417/0x0.png,8,4.3,0,0,,,,,,AU,,NULL,4701,NULL,climatecareelectrical.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/climatecareelectrical.com.au,17/10/2020 23:51,17/10/2020 23:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,admin,Ambient Electrical,trustpilot,5ae56b3b2bad2f00014f015e,ambient-electrical,,7,4.3,0,0,Unit 1 58 Brown St,,,Bronte,Bronte,AU,415684120,NULL,2024,NULL,www.easternsuburbselectrician.net.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/www.easternsuburbselectrician.net.au,17/10/2020 23:51,17/10/2020 23:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,admin,Gimpel Electrics,trustpilot,5af25b38b6444c00016270e5,gimpel-electrics,//s3-eu-west-1.amazonaws.com/tpd/logos/5af25b38b6444c00016270e5/0x0.png,7,4.2,0,0,1705 Logan Rd,,,Upper Mount Gravatt,Upper Mount Gravatt,AU,(07) 3343 4066,NULL,4122,NULL,gimpelelectrics.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/gimpelelectrics.com.au,17/10/2020 23:51,17/10/2020 23:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,admin,Star Plus Electrical,trustpilot,55d202a60000ff0005823f6d,star-plus-electrical,,7,4.2,0,0,,,,Adelaide,Adelaide,AU,1800 438 782,NULL,5000,NULL,starpluselectrical.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/starpluselectrical.com.au,17/10/2020 23:51,17/10/2020 23:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,admin,Landmark Electrical,trustpilot,5bff9af2d5475700018989e3,landmark-electrical,,6,4.2,0,0,,,,Sydney,Sydney,AU,0405 091 456,NULL,2147,NULL,www.landmarkelectric.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/www.landmarkelectric.com.au,17/10/2020 23:51,17/10/2020 23:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,admin,Melbourne TV Digital Antennas,trustpilot,5f099869f5f487000171eb4f,melbourne-tv-digital-antennas,//s3-eu-west-1.amazonaws.com/tpd/logos/5f099869f5f487000171eb4f/0x0.png,6,4.2,0,0,Waratah ST,,,Campbellfield,Campbellfield,AU,482017444,NULL,3061,NULL,melbournetvdigitalantennas.com,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/melbournetvdigitalantennas.com,17/10/2020 23:51,17/10/2020 23:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,admin,8 Bit Solutions,trustpilot,593748b00000ff0005a40658,8-bit-solutions,//s3-eu-west-1.amazonaws.com/tpd/logos/593748b00000ff0005a40658/0x0.png,1,3.7,0,0,,,,Campbelltown,Campbelltown,AU,,NULL,2560,NULL,www.8bitsolutions.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/www.8bitsolutions.com.au,17/10/2020 23:52,17/10/2020 23:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,admin,Sydney Power & Data,trustpilot,5e5cda8294f7cb00015e5c41,sydney-power-data,,1,3.7,0,0,,,,Blacktown,Blacktown,AU,42251925,NULL,2148,NULL,sydpowerdata.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/sydpowerdata.com.au,17/10/2020 23:52,17/10/2020 23:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,admin,Ruttley Services,trustpilot,5ccc9aba4786990001508237,ruttley-services,,0,3.5,0,0,13 Gibbes Street ,,,Chatswood,Chatswood,AU,02 9904 7700,NULL,2067,NULL,www.ruttleyservices.com.au,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,https://au.trustpilot.com/review/www.ruttleyservices.com.au,17/10/2020 23:52,17/10/2020 23:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
